open,high,low,close,adj_close,volume,daily_returns,monthly_returns,annual_returns,daily_range
19.019,19.165,18.872,19.022,18.001,3051075.994,0.114,0.114,24.089,0.293
6.349,6.377,6.322,6.351,6.757,2115770.807,2.162,2.162,4.949,0.159
