open,high,low,close,adj_close,volume,daily_returns,monthly_returns,annual_returns,daily_range
285.416,288.223,282.464,285.468,280.601,28595681.032,0.105,2.202,47.123,5.76
80.3,80.51,79.794,80.17,81.986,12723530.0,1.911,6.17,4.961,2.914
