open,high,low,close,adj_close,volume,daily_returns,monthly_returns,annual_returns,daily_range
85.644,86.824,84.483,85.695,85.303,286427.981,0.134,0.134,40.198,2.341
27.109,27.209,27.013,27.135,27.29,344907.611,2.522,2.522,22.951,1.185
