Price,Adj Close,Close,High,Low,Open,Volume,daily_returns,monthly_returns,annual_returns,daily_range
Ticker,ENSG,ENSG,ENSG,ENSG,ENSG,ENSG,,,,
Date,,,,,,,,,,
2019-11-01 00:00:00+00:00,42.46843338012695,43.06999969482422,44.279998779296875,42.369998931884766,42.66999816894531,237100,-1.0680198996752432,,,1.9099998474121094
2019-11-04 00:00:00+00:00,42.014862060546875,42.61000061035156,43.189998626708984,42.18000030517578,43.189998626708984,322100,-1.0680198996752432,,,1.0099983215332031
2019-11-05 00:00:00+00:00,41.85709762573242,42.45000076293945,43.47999954223633,42.189998626708984,42.90999984741211,240200,-0.37549673395833594,,,1.2900009155273438
2019-11-06 00:00:00+00:00,41.3443603515625,41.93000030517578,42.58000183105469,41.88999938964844,42.52000045776367,178300,-1.2249709207135973,,,0.69000244140625
2019-11-07 00:00:00+00:00,41.137298583984375,41.720001220703125,42.869998931884766,41.099998474121094,42.290000915527344,210900,-0.5008222785826688,,,1.7700004577636719
2019-11-08 00:00:00+00:00,41.600730895996094,42.189998626708984,42.810001373291016,41.66999816894531,41.720001220703125,189100,1.1265501818637613,,,1.1400032043457031
2019-11-11 00:00:00+00:00,41.30491256713867,41.88999938964844,42.15999984741211,41.470001220703125,41.810001373291016,132200,-0.7110892584964001,,,0.6899986267089844
2019-11-12 00:00:00+00:00,41.68947219848633,42.279998779296875,42.72999954223633,41.560001373291016,41.91999816894531,139200,0.93102637784932,,,1.1699981689453125
2019-11-13 00:00:00+00:00,39.746986389160156,40.310001373291016,42.540000915527344,39.93000030517578,41.970001220703125,223900,-4.659415691515278,,,2.6100006103515625
2019-11-14 00:00:00+00:00,40.12167739868164,40.689998626708984,41.25,39.91999816894531,40.36000061035156,204900,0.9426903611079007,,,1.3300018310546875
2019-11-15 00:00:00+00:00,40.82175827026367,41.400001525878906,41.5,40.400001525878906,41.04999923706055,197000,1.7448943238974168,,,1.0999984741210938
2019-11-18 00:00:00+00:00,40.486515045166016,41.060001373291016,41.79999923706055,40.72999954223633,41.349998474121094,122100,-0.8212366132741122,,,1.0699996948242188
2019-11-19 00:00:00+00:00,40.94008255004883,41.52000045776367,42.060001373291016,41.06999969482422,41.16999816894531,162700,1.1202927798967588,,,0.9900016784667969
2019-11-20 00:00:00+00:00,40.486515045166016,41.060001373291016,41.7599983215332,40.84000015258789,41.2599983215332,249800,-1.1078812660632265,,,0.9199981689453125
2019-11-21 00:00:00+00:00,42.18248748779297,42.779998779296875,42.970001220703125,41.060001373291016,41.25,421000,4.188981048961504,,,1.9099998474121094
2019-11-22 00:00:00+00:00,42.734657287597656,43.34000015258789,43.66999816894531,42.88999938964844,43.0099983215332,250800,1.3090024621342566,,,0.779998779296875
2019-11-25 00:00:00+00:00,43.47419357299805,44.09000015258789,44.310001373291016,43.060001373291016,43.369998931884766,209500,1.730530516305362,,,1.25
2019-11-26 00:00:00+00:00,42.91215515136719,43.52000045776367,44.349998474121094,43.5,43.939998626708984,212500,-1.29280930924488,,,0.8499984741210938
2019-11-27 00:00:00+00:00,43.178382873535156,43.790000915527344,44.25,43.5,43.7599983215332,123800,0.6204016582921135,,,0.75
