open,high,low,close,adj_close,volume,daily_returns,monthly_returns,annual_returns,daily_range
34.247,34.892,33.551,34.254,34.23,450600564.683,0.322,7.877,123.766,1.341
34.045,34.665,33.307,34.008,34.015,185857920.832,3.382,14.444,1.59,1.641
