open,high,low,close,adj_close,volume,daily_returns,daily_range,monthly_returns,annual_returns
330.859,334.589,327.286,331.005,312.909,2694719.265,0.111,7.302,2.245,25.833
84.649,85.214,84.143,84.677,88.433,1362002.106,2.074,3.526,9.006,25.947
