open,high,low,close,adj_close,volume,daily_returns,daily_range,monthly_returns,annual_returns
34.415,35.063,33.72,34.425,34.401,450075192.036,0.326,1.343,6.615,125.479
34.278,34.902,33.548,34.251,34.257,186185770.122,3.381,1.641,14.346,109.615
