Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,345.500000,348.600006,342.809998,346.220001,333.222656,1589700
2023-01-04,348.029999,350.309998,345.079987,347.700012,334.647125,1881000
2023-01-05,344.250000,345.140015,340.140015,343.760010,330.855042,1397800
2023-01-06,347.299988,349.000000,340.950012,348.079987,335.012878,3097800
2023-01-09,351.880005,356.500000,349.500000,353.000000,339.748138,1989000
2023-01-10,352.640015,357.500000,350.500000,357.359985,343.944458,1610100
2023-01-11,358.869995,365.500000,356.209991,364.480011,350.797211,2127000
2023-01-12,366.239990,370.100006,362.570007,369.940002,356.052216,2103100
2023-01-13,363.489990,374.350006,362.359985,374.000000,359.959778,3310200
2023-01-17,364.799988,366.790009,344.000000,349.920013,336.783783,14448300
2023-01-18,348.320007,354.790009,347.799988,349.089996,335.984924,5585200
2023-01-19,346.029999,352.160004,345.519989,350.750000,337.582642,3100400
2023-01-20,349.869995,352.250000,338.209991,341.839996,329.007111,11247200
2023-01-23,341.670013,349.559998,336.160004,349.140015,336.033081,4915700
2023-01-24,340.000000,350.299988,340.000000,348.329987,335.253418,2372000
2023-01-25,344.750000,349.959991,343.899994,349.630005,336.504669,1985200
2023-01-26,351.730011,355.000000,349.519989,354.970001,341.644196,1919200
2023-01-27,351.950012,355.989990,351.829987,353.700012,340.421875,2427400
2023-01-30,353.290009,362.329987,352.399994,357.459991,344.040710,3184500
2023-01-31,359.160004,365.920013,356.859985,365.809998,352.077240,2311500
2023-02-01,359.100006,368.940002,358.760010,365.709991,351.981018,2889400
2023-02-02,368.000000,372.890015,364.549988,369.470001,355.599884,2619600
2023-02-03,365.619995,374.570007,365.440002,369.950012,356.061829,2243100
2023-02-06,369.000000,371.260010,365.779999,370.799988,356.879913,1816200
2023-02-07,368.170013,376.309998,367.339996,374.399994,360.344757,2205500
2023-02-08,372.920013,378.350006,371.980011,375.100006,361.018494,1893200
2023-02-09,377.040009,379.679993,367.799988,367.989990,354.175415,2052500
2023-02-10,367.000000,372.230011,364.559998,371.279999,357.341919,1933400
2023-02-13,369.089996,375.059998,368.000000,374.019989,359.979065,1570600
2023-02-14,373.940002,377.049988,369.380005,371.779999,357.823120,2155500
2023-02-15,368.739990,374.369995,368.250000,374.339996,360.287018,1687200
2023-02-16,370.750000,374.250000,368.799988,370.200012,356.302490,1947800
2023-02-17,368.049988,371.059998,366.859985,368.500000,354.666290,1857300
2023-02-21,366.720001,366.720001,360.089996,361.119995,347.563324,2403000
2023-02-22,361.630005,363.000000,358.040009,360.890015,347.341949,2203800
2023-02-23,363.200012,367.880005,359.609985,363.540009,349.892456,1931400
2023-02-24,360.170013,365.179993,359.529999,363.850006,350.190857,2428600
2023-02-27,368.220001,370.299988,364.510010,365.529999,351.807800,2842400
2023-02-28,366.000000,366.010010,351.329987,351.649994,338.448822,4945600
2023-03-01,349.390015,352.540009,345.959991,346.230011,335.618317,2717400
2023-03-02,343.989990,349.779999,340.489990,349.100006,338.400391,3259800
2023-03-03,350.640015,357.769989,349.559998,357.089996,346.145477,2396200
2023-03-06,358.059998,358.859985,353.730011,357.049988,346.106720,1614200
2023-03-07,355.549988,356.200012,345.630005,346.079987,335.472900,2048500
2023-03-08,346.190002,349.690002,345.170013,349.290009,338.584534,1584600
2023-03-09,349.200012,354.290009,341.049988,342.089996,331.605225,3177800
2023-03-10,338.869995,339.929993,326.029999,327.670013,317.627197,4559700
2023-03-13,319.670013,326.109985,314.540009,315.510010,305.839874,5660700
2023-03-14,324.769989,326.380005,318.950012,322.149994,312.276337,3785900
2023-03-15,310.769989,312.510010,304.410004,312.190002,302.621613,6596700
2023-03-16,309.000000,318.320007,304.920013,315.089996,305.432770,4399100
2023-03-17,310.089996,310.399994,301.869995,303.540009,294.236725,6369800
2023-03-20,306.779999,312.200012,306.260010,309.529999,300.043152,3963700
2023-03-21,317.619995,320.320007,315.350006,317.279999,307.555634,3242400
2023-03-22,317.279999,322.220001,313.489990,313.670013,304.056274,2505900
